QST-00001|Aap Paanchvi Fail Champu Hain?|Aap Paanchvi Fail Champu Hain?
QST-00002|Abha Parmar is an Indian TV actress known for her role in the soap opera Iss Pyaar Ko Kya Naam Doon?|Abha Parmar is an Indian TV actress known for her role in the soap opera Iss Pyaar Ko Kya Naam Doon?
QST-00003|A biological robot, or 'Biomat', kills one of the crew members and replaces them, but who is it?|A biological robot, or 'Biomat', kills 1 of the crew members and replaces them, but who is it?
QST-00004|About a Friendly Shrink?|About a Friendly Shrink?
QST-00005|Academic Stanley Barrett, author of Is God a Racist?|Academic Stanley Barrett, author of Is God a Racist?
QST-00006|Accordingly, most merger control regimes normally provide for one of the following substantive tests: Does the concentration significantly impede effective competition?|Accordingly, most merger control regimes normally provide for 1 of the following substantive tests: Does the concentration significantly impede effective competition?
QST-00007|According to the United States Geological Survey's ShakeMap and Did You Feel It?|According to the United States Geological Survey's ShakeMap and Did You Feel It?
QST-00008|According to what criteria?|According to what criteria?
QST-00009|According to W. W. Norton & Company, How do we find our way in the world?|According to W. W. Norton & Company, How do we find our way in the world?
QST-00010|Accused: Who, me?|Accused: Who, me?
QST-00011|Accuser: Who stole/took the cookie/cookies from the cookie jar?|Accuser: Who stole/took the cookie/cookies from the cookie jar?
QST-00012|A couple called it a classic work on the subject, and to be a classic, it has to stay around, right?|A couple called it a classic work on the subject, and to be a classic, it has to stay around, right?
QST-00013|A Danish version was also recorded by Dorthe Kollo as Er de Greven fra Luxembourg?|A Danish version was also recorded by Dorthe Kollo as Er de Greven fra Luxembourg?
QST-00014|Additionally, it was the inspiration for the title of Edward Albee's 1963 play Who's Afraid of Virginia Woolf?|Additionally, it was the inspiration for the title of Edward Albee's 1963 play Who's Afraid of Virginia Woolf?
QST-00015|A different version of the song, "(The Original) Neutron Bomb", appeared as part of a 1978 three-song compilation EP on What Records?|A different version of the song, "(The Original) Neutron Bomb", appeared as part of a 1978 3 song compilation EP on What Records?
QST-00016|Adriaan van der Stel (-Ceylon, 25 May 1646) was opperhoofd of Mauritius from 1640?|Adriaan van der Stel ( Ceylon, 25 May 1646) was opperhoofd of Mauritius from 1640?
QST-00017|A feature film had been created on the basis of Inna?|A feature film had been created on the basis of Inna?
QST-00018|A Film About the Replacements, What Did You Expect?|A Film About the Replacements, What Did You Expect?
QST-00019|African Women Share Their Stories of Hope and Survival (2012) and Taboo?|African Women Share Their Stories of Hope and Survival (2012) and Taboo?
QST-00020|After recapitulating the circumstances of the Judicium Albianum, Cicero asks, if Falcula were innocent, who in the concilium at Oppianicus's trial could be guilty?|After recapitulating the circumstances of the Judicium Albianum, Cicero asks, if Falcula were innocent, who in the concilium at Oppianicus's trial could be guilty?
QST-00021|After self-releasing their independent album We Like Digging?|After self releasing their independent album We Like Digging?
QST-00022|After the group broke up, guitarist Amy and guitarist/vocalist Tim went on to form What Would Jesus Drive?|After the group broke up, guitarist Amy and guitarist/vocalist Tim went on to form What Would Jesus Drive?
QST-00023|After this his colleagues asked him: Who guarded you?|After this his colleagues asked him: Who guarded you?
QST-00024|After two successful albums for No Limit Records, Can I Burn?|After 2 successful albums for No Limit Records, Can I Burn?
QST-00025|Ahern also created and produced the ABC comedy Samantha Who?|Ahern also created and produced the ABC comedy Samantha Who?
QST-00026|Alas then, is she drown'd?|Alas then, is she drown'd?
QST-00027|All of Cattle Punching 's songs would later be re-released in 2005 by Sunset Alliance and You and Whose Army?|All of Cattle Punching 's songs would later be re released in 2005 by Sunset Alliance and You and Whose Army?
QST-00028|All those things you did for Duke, and all the people think Duke did 'em?|All those things you did for Duke, and all the people think Duke did 'em?
QST-00029|Along with Jeanne Theoharis and Komozi Woodard, Gore edited a collection of essays Want to Start A Revolution?|Along with Jeanne Theoharis and Komozi Woodard, Gore edited a collection of essays Want to Start A Revolution?
QST-00030|Also, he has appeared in many feature-length films, including Who Killed Simone Valentine?|Also, he has appeared in many feature length films, including Who Killed Simone Valentine?
QST-00031|Alternatively, can consensual sexual acts be immoral, or are they outside the realm of ethics?|Alternatively, can consensual sexual acts be immoral, or are they outside the realm of ethics?
QST-00032|Alternatively, will there be a realistic possibility of getting support and customisation from third parties?|Alternatively, will there be a realistic possibility of getting support and customisation from third parties?
QST-00033|Although technically the label still exists, the only release since 1998 was What Is Your?|Although technically the label still exists, the only release since 1998 was What Is Your?
QST-00034|Although the sales success of their debut was never matched, The Blind Leading the Naked (1986), 3 (1989), Why Do Birds Sing?|Although the sales success of their debut was never matched, The Blind Leading the Naked (1986), 3 (1989), Why Do Birds Sing?
QST-00035|Alvin Frithiof Sundberg may be associated with the firm?|Alvin Frithiof Sundberg may be associated with the firm?
QST-00036|A marketing manager has to think about the following questions before implementing a market development strategy: Is it profitable?|A marketing manager has to think about the following questions before implementing a market development strategy: Is it profitable?
QST-00037|Am I being an elitist here, trying to one-up my audience?|Am I being an elitist here, trying to 1 up my audience?
QST-00038|Am I right or Am-I-rilla?|Am I right or Am I rilla?
QST-00039|Among these 4-reel comedies were About Face (1942), Brooklyn Orchid (1942), Taxi, Mister?|Among these 4 reel comedies were About Face (1942), Brooklyn Orchid (1942), Taxi, Mister?
QST-00040|Among these are Brake's Road Safety Awards, What Car?|Among these are Brake's Road Safety Awards, What Car?
QST-00041|And $27 + $2 = $29 so, if the guests originally handed over $30, what happened to the remaining $1?|And $27 + $2 = $29 so, if the guests originally handed over $30, what happened to the remaining $1?
QST-00042|And any one thing could be the effect of any number of others?|And any 1 thing could be the effect of any number of others?
QST-00043|And did you know desire's a terrible thing?|And did you know desire's a terrible thing?
QST-00044|And do they still have 'third' rails?|And do they still have 'third' rails?
QST-00045|And for what purpose, I ask, has that god received the charge of hearths?|And for what purpose, I ask, has that god received the charge of hearths?
QST-00046|And guess what?|And guess what?
QST-00047|And if I drive out demons by Beelzebul, by whom do your people drive them out?|And if I drive out demons by Beelzebul, by whom do your people drive them out?
QST-00048|And if one did chance to find some miraculously preserved document from a thousand millennia ago, what then?|And if 1 did chance to find some miraculously preserved document from 1000 millennia ago, what then?
